time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
636,7.38,40,0.90090908,4679,116,0.4068316916624705,0.24332921827832857,0.001,4576,,
640,7.39,40,0.8721589299999998,4707,116,0.4562409669160843,0.17224135100841523,0.001,4605,,
644,7.45,40,0.87251835,4739,116,0.43503545224666595,0.1904402862895619,0.001,4634,,
648,7.4,41,0.85624515,4763,116,0.4963483065366745,0.15965949296951293,0.001,4657,,
652,7.41,41,0.7456583600000002,4794,116,0.5623686760663986,0.16142700985074043,0.001,4689,,
656,7.52,41,0.74215124,4825,116,0.3767984594617571,0.213067321905068,0.001,4720,,
660,7.59,41,0.67632526,4858,116,0.41342469677329063,0.21880258060991764,0.001,4757,,
664,7.45,42,0.65754254,4880,116,0.2898629754781723,0.1613064467906952,0.001,4775,,
668,7.48,42,0.7135530900000002,4908,116,0.5106331408023834,0.15622995462682512,0.001,4802,,
672,7.47,42,0.68074126,4941,116,0.3619958659013112,0.1701867257555326,0.001,4835,,
676,7.32,42,0.7177112000000001,4963,116,0.533841148018837,0.16291098296642303,0.001,4861,,
680,7.14,42,0.7813684200000001,4990,116,0.4327713906764984,0.19896702965100607,0.001,4888,,
,,,,5000,,0.34206774830818176,0.17928844094276428,0.001,4898,1.6631188,7.05
684,7.02,43,0.8196897,5017,115,0.4654090503851573,0.24715226590633393,0.001,4908,,
688,6.96,43,0.8476553600000001,5043,114,0.38773133357365924,0.21519250671068826,0.001,4941,,
692,6.83,44,0.78137451,5069,114,0.5077309310436249,0.1490491425449198,0.001,4968,,
696,6.9,44,0.7463612999999999,5107,114,0.4054957777261734,0.16057950258255005,0.001,5005,,
700,6.88,44,0.7515791199999999,5137,115,0.36520814895629883,0.20129965245723724,0.001,5031,,
704,6.85,44,0.7534550899999999,5159,115,0.5560677945613861,0.21138979494571686,0.001,5056,,
708,6.76,45,0.7220534200000001,5181,115,0.5868014593919119,0.1559889167547226,0.001,5078,,
712,6.76,45,0.7459807799999999,5206,115,0.4521772041916847,0.17491291835904121,0.001,5104,,
716,6.89,45,0.8285300899999999,5237,115,0.39730359613895416,0.17678310722112656,0.001,5133,,
720,6.89,45,0.83349925,5259,115,0.45524053772290546,0.18329703169209616,0.001,5157,,
724,6.91,45,0.91636415,5287,115,0.4375653068224589,0.18868933618068695,0.001,5183,,
728,6.93,46,0.9946988499999999,5318,115,0.40987083812554675,0.18191903457045555,0.001,5213,,
732,7.08,46,1.0337530799999997,5363,115,0.24754766126473746,0.22541498144467673,0.001,5243,,
