time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
1274,55,212,-5.38515372,23,5.97,3.9585843086242676,0.0003,-6.836446285247803,1173,-16.91671371459961,0.703537106513977,,
1295,55,216,-5.37601697,23,5.98,5.434719085693359,0.0003,-6.897321701049805,1194,-17.048906326293945,0.6991714239120483,,
1321,55,220,-5.33620139,23,5.99,4.797514915466309,0.0003,-7.109179496765137,1220,-16.712629318237305,0.6938138604164124,,
1340,55,224,-5.30791056,24,6.0,4.441539764404297,0.0003,-7.119528770446777,1239,-16.208446502685547,0.6899159550666809,,
1358,55,228,-5.300723389999999,24,5.99,4.773388862609863,0.0003,-7.301448345184326,1257,-15.952865600585938,0.6862511038780212,,
1389,54,232,-5.298768739999999,25,6.09,4.376812934875488,0.0003,-7.396376609802246,1288,-16.55803871154785,0.6799761056900024,,
1411,54,236,-5.30758763,25,6.07,5.754925727844238,0.0003,-7.615569114685059,1310,-16.655323028564453,0.6755566000938416,,
1440,54,240,-5.265321759999999,26,6.11,4.542755126953125,0.0003,-7.772043228149414,1339,-17.24999237060547,0.6697718501091003,,
1460,54,244,-5.227081050000001,26,6.1,7.146678447723389,0.0003,-7.940610408782959,1359,-16.079723358154297,0.6658088564872742,,
1484,54,248,-5.201570750000001,27,6.14,5.707503795623779,0.0003,-7.945832252502441,1383,-15.491584777832031,0.6610956788063049,,
1505,54,252,-5.1061114000000005,27,6.02,4.300373077392578,0.0003,-8.100189208984375,1404,-15.146735191345215,0.6569978594779968,,
1533,54,256,-5.1027624099999995,28,6.03,5.810041427612305,0.0003,-8.28091812133789,1432,-16.004478454589844,0.6515691876411438,,
1555,54,260,-4.972747520000001,28,5.95,5.442708969116211,0.0003,-8.419134140014648,1454,-16.1042537689209,0.647331714630127,,
1576,54,264,-4.877307289999999,29,5.9,4.678138732910156,0.0003,-8.476881980895996,1475,-16.13419532775879,0.6433165669441223,,
1601,54,268,-4.8682502,29,5.92,6.051784992218018,0.0003,-8.697965621948242,1500,-15.892204284667969,0.6385728716850281,,
1631,54,272,-4.76615524,30,5.96,8.313097953796387,0.0003,-8.742114067077637,1530,-15.139410018920898,0.6329447031021118,,
1659,54,276,-4.71700388,30,5.96,6.23348331451416,0.0003,-8.907600402832031,1558,-13.411846160888672,0.6277298331260681,,
1689,54,280,-4.693626450000001,31,6.01,6.7100419998168945,0.0003,-9.100454330444336,1588,-14.279199600219727,0.6221960186958313,,
1718,54,284,-4.59838912,31,6.02,7.38413143157959,0.0003,-9.179564476013184,1617,-14.388002395629883,0.616897463798523,,
1736,54,288,-4.62659851,32,6.03,8.670018196105957,0.0003,-9.272172927856445,1635,-14.626325607299805,0.6136411428451538,,
1757,53,292,-4.53875794,32,5.97,5.44832181930542,0.0003,-9.44777774810791,1656,-13.926067352294922,0.6098884344100952,,
1786,53,296,-4.46393705,33,5.95,5.172026634216309,0.0003,-9.58450698852539,1685,-14.702543258666992,0.604715883731842,,
1812,53,300,-4.48694871,33,5.97,7.273796081542969,0.0003,-9.658638000488281,1711,-14.490501403808594,0.600119411945343,,
1840,53,304,-4.510380570000001,34,6.08,5.710568428039551,0.0003,-9.877079010009766,1739,-12.785853385925293,0.5952103734016418,,
1860,53,308,-4.43500057,34,6.06,5.758963584899902,0.0003,-10.030653953552246,1759,-14.082578659057617,0.5917320251464844,,
1884,53,312,-4.45493908,35,6.1,6.842162132263184,0.0003,-9.964666366577148,1783,-13.19511604309082,0.5875871777534485,,
