time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
155,7.07,5799,1.6323797799999997,37,788,0.001,0.08616877843936284,5695,-0.018344942945986986,,
155,7.18,5836,1.7243852999999998,37,792,0.001,0.0865998010743748,5729,-0.09890661239624024,,
155,7.15,5866,1.6644254600000001,37,796,0.001,0.08801651000976562,5762,-0.04215685650706291,,
155,7.12,5891,1.7066365300000002,37,800,0.001,0.08872302323579788,5789,-0.08883793652057648,,
155,7.07,5914,1.73390479,37,804,0.001,0.08888793289661408,5812,-0.17160920798778534,,
155,7.21,5949,1.767637,38,808,0.001,0.08931711763143539,5842,-0.006294271598259608,,
155,7.14,5970,1.7579831799999999,38,812,0.001,0.08302681595087051,5867,-0.07722035981714725,,
155,7.1,5993,1.70147425,38,816,0.001,0.1256403684616089,5891,-0.2481854259967804,,
155,7.13,6023,1.6811353400000002,38,820,0.001,0.11756978432337443,5916,-0.05069758060077826,,
155,7.07,6046,1.68902228,38,824,0.001,0.10789819657802582,5944,-0.03391293187936147,,
155,7.07,6076,1.63797101,39,828,0.001,0.10024170652031898,5973,-0.0939744994044304,,
155,7.01,6104,1.6336595299999999,39,832,0.001,0.08544121930996577,6001,-0.018215013047059376,,
155,6.95,6132,1.6053976500000002,39,836,0.001,0.08390493243932724,6026,0.0035019318262736,,
155,6.94,6159,1.6289537700000003,39,840,0.001,0.09814756860335667,6052,-0.12793469553192457,,
155,6.99,6187,1.6286154199999998,39,844,0.001,0.08914522528648376,6083,-0.07687461003661156,,
155,7.06,6219,1.69660865,39,848,0.001,0.08373182266950607,6110,-0.1687323795631528,,
155,6.94,6246,1.58510184,40,852,0.001,0.08194494545459748,6141,-0.13043547607958317,,
155,6.98,6276,1.7069800300000002,40,856,0.001,0.0928173993121494,6174,-0.0057053690155347185,,
156,7.03,6309,1.6651457699999996,40,860,0.001,0.09114549309015274,6197,-0.12536701808373132,,
156,6.95,6332,1.55462146,40,864,0.001,0.09934411346912383,6228,-0.11753426616390546,,
156,6.99,6359,1.52256484,40,868,0.001,0.10518250738581021,6256,-0.048622901240984596,,
156,7.01,6386,1.54482441,40,872,0.001,0.10715304780751467,6284,-0.04892983101308346,,
156,7.08,6423,1.5856088600000005,41,876,0.001,0.09833980351686478,6313,-0.12414948642253876,,
156,7.09,6447,1.57825379,41,880,0.001,0.0955370843410492,6345,-0.0748315304517746,,
156,7.0,6469,1.5473203899999999,41,884,0.001,0.08949895948171616,6367,-0.0934723662212491,,
156,7.0,6499,1.54322171,41,888,0.001,0.10480828263929912,6394,-0.10634908732026815,,
156,6.93,6529,1.5195725800000002,41,892,0.001,0.09345021098852158,6427,-0.12784592807292938,,
156,6.96,6562,1.5260777600000004,42,896,0.001,0.08545852173119783,6459,-0.1195354014635086,,
156,6.99,6590,1.5371979999999998,42,900,0.001,0.0801829748920032,6483,-0.08939227213462193,,
156,7.03,6617,1.54875288,42,904,0.001,0.09129582196474076,6512,-0.0002578447262446086,,
156,6.89,6638,1.5126359200000001,42,908,0.001,0.07162754237651825,6536,-0.17180162047346434,,
156,6.93,6663,1.55633499,42,912,0.001,0.08454687595367431,6561,-0.1671369582414627,,
156,7.02,6695,1.5447473800000002,42,916,0.001,0.07392084132879972,6592,-0.1375140305608511,,
156,6.99,6722,1.6236814999999998,43,920,0.001,0.07762286067008972,6617,-0.07561993785202503,,
